area	ssprove_file	ssprove_symbol	easycrypt_file	easycrypt_symbol	relation	scope
adaptive-active-classical-all-actions	beaconcrypt-core/proofs/ssprove/PqxdhRatchetRom.v	active_classical_all_actions_bounded_rom_confidentiality	beaconcrypt-core/proofs/easycrypt/AdaptiveRom.ec	active_classical_all_actions_bounded_rom_confidentiality	reviewed-bounded-counterpart	Each combines a forward bad-query bound with a fixed-failure replacement branch.
hybrid-five-coordinate-generic	beaconcrypt-core/proofs/ssprove/PqxdhHybridSecurity.v	pqxdh_hybrid_one_hidden_contribution_confidentiality	beaconcrypt-core/proofs/easycrypt/HybridAdaptiveRom.ec	hybrid_adaptive_rom_advantage_bad_query_bound	reviewed-bounded-counterpart	Each enumerates abstract Boolean DH1/DH2/DH3/DH4/ML-KEM coordinates and permits adaptive classical queries.
hybrid-active-classical	beaconcrypt-core/proofs/ssprove/PqxdhHybridSecurity.v	active_classical_forward_hybrid_confidentiality	beaconcrypt-core/proofs/easycrypt/HybridAdaptiveRom.ec	active_classical_forward_hybrid_confidentiality	reviewed-bounded-counterpart	ML-KEM hidden-coordinate result shape for active-classical forwarding.
hybrid-passive-classical	beaconcrypt-core/proofs/ssprove/PqxdhHybridSecurity.v	passive_classical_forward_hybrid_confidentiality	beaconcrypt-core/proofs/easycrypt/HybridAdaptiveRom.ec	passive_classical_forward_hybrid_confidentiality	reviewed-bounded-counterpart	ML-KEM hidden-coordinate result shape for passive-classical forwarding.
hybrid-passive-quantum-classical-query	beaconcrypt-core/proofs/ssprove/PqxdhHybridSecurity.v	passive_quantum_forward_hybrid_confidentiality	beaconcrypt-core/proofs/easycrypt/HybridAdaptiveRom.ec	passive_quantum_forward_hybrid_confidentiality	reviewed-bounded-counterpart	ML-KEM hidden-coordinate result shape with classical queries only; not QPT or QROM.
ratchet-adaptive-bad-query	beaconcrypt-core/proofs/ssprove/RatchetForwardSecrecy.v	ratchet_erasure_forward_secrecy_bad_query_bound	beaconcrypt-core/proofs/easycrypt/RatchetAdaptiveRom.ec	ratchet_adaptive_advantage_hidden_query_bound	reviewed-bounded-counterpart	Each covers one erased hop and a public triple, with adaptive classical-ROM advantage bounded by its hidden query.
ratchet-adaptive-trace	beaconcrypt-core/proofs/ssprove/RatchetForwardSecrecy.v	ratchet_attacker_trace_query_count_bound	beaconcrypt-core/proofs/easycrypt/RatchetAdaptiveRom.ec	ratchet_adaptive_returned_trace_bound	reviewed-bounded-counterpart	Each bounds an accepted trace by fuel; no physical-erasure claim.
ctx-binding-extraction	beaconcrypt-core/proofs/ssprove/CtxGame.v	ctx_hidden_rom_extractor_reduction	beaconcrypt-core/proofs/easycrypt/CtxRom.ec	ctx_hidden_rom_binding_probability_bound	reviewed-bounded-counterpart	Each lifts binding success to a same-run collision probability, but SSProve uses a deterministic query tree randomized by the sampled table while EasyCrypt uses a probabilistic binder without that oracle runner.
ctx-binding-trace	beaconcrypt-core/proofs/ssprove/CtxGame.v	ctx_hidden_binding_trace_size_bound	beaconcrypt-core/proofs/easycrypt/CtxRom.ec	ctx_hidden_binding_trace_size_bound	reviewed-bounded-counterpart	SSProve bounds its whole verifier runner; EasyCrypt proves the corresponding two-entry list construction under a supplied trace-size premise.
ctx-privacy-representation	beaconcrypt-core/proofs/ssprove/CtxPrivacy.v	ctx_hidden_true_real_is_programmed_real	beaconcrypt-core/proofs/easycrypt/CtxAdaptiveFullRom.ec	ctx_hidden_true_programmed_distribution	reviewed-bounded-counterpart	Each uses iid coin reindexing; EasyCrypt exposes the full 64-point six-Boolean query domain and arbitrary off-secret base table.
ctx-privacy-programmed-ideal	beaconcrypt-core/proofs/ssprove/CtxPrivacy.v	ctx_programmed_fresh_decision_advantage_bound	beaconcrypt-core/proofs/easycrypt/CtxAdaptiveFullRom.ec	ctx_hidden_programmed_ideal_absolute_gap	reviewed-bounded-counterpart	Each adaptive classical gap is bounded by its exact hidden-query probability; not production width or QROM.
ctx-privacy-end-to-end	beaconcrypt-core/proofs/ssprove/CtxPrivacy.v	ctx_hidden_uniform_key_true_real_privacy_bound	beaconcrypt-core/proofs/easycrypt/CtxAdaptiveFullRom.ec	ctx_hidden_uniform_key_true_real_privacy_bound	reviewed-bounded-counterpart	Each samples a hidden uniform key and proves its bounded real/ideal result shape; not production width, QROM, or cross-assistant equivalence.
record-classification	beaconcrypt-core/proofs/ssprove/RecordIntegrity.v	record_active_modification_query_or_guess_classification_bound	beaconcrypt-core/proofs/easycrypt/RecordIntegrity.ec	record_active_modification_probability_classification	reviewed-bounded-counterpart	Each classifies an accepted attempt as an exact-input query or fresh accepted guess within its own trace/game interface.
record-cross-context-collision	beaconcrypt-core/proofs/ssprove/RecordIntegrity.v	record_cross_context_reuse_reduces_to_collision	beaconcrypt-core/proofs/easycrypt/RecordIntegrity.ec	record_cross_context_collision_probability_bound	reviewed-bounded-counterpart	Each reduces same-payload acceptance under a distinct context to a finite-model collision event.
record-cross-sequence-collision	beaconcrypt-core/proofs/ssprove/RecordIntegrity.v	record_cross_sequence_reuse_reduces_to_collision	beaconcrypt-core/proofs/easycrypt/RecordIntegrity.ec	record_cross_sequence_collision_probability_bound	reviewed-bounded-counterpart	Each reduces cross-sequence reuse to a finite-model collision event through cross-context reuse.
record-trace	beaconcrypt-core/proofs/ssprove/RecordIntegrity.v	record_integrity_trace_size_bound	beaconcrypt-core/proofs/easycrypt/RecordIntegrity.ec	record_integrity_trace_size_bound	reviewed-bounded-counterpart	SSProve bounds its verifier runner; EasyCrypt proves the corresponding one-entry list construction under a supplied trace-size premise.
record-one-bit-guess	beaconcrypt-core/proofs/ssprove/RecordIntegrityBound.v	record_uniform_one_bit_fresh_tag_guess_bound	beaconcrypt-core/proofs/easycrypt/RecordIntegrity.ec	record_uniform_one_bit_fresh_tag_acceptance_exact	interface-incomparable	Both obtain one-half in a one-bit fresh-tag experiment, but SSProve has an adaptive bounded deterministic oracle adversary while EasyCrypt has an arbitrary randomized guesser without that oracle interface.
